No,Year,1,2,3,4
1,2010,5,5,4.8,4.9
2,2015,3,3.2,3,2.9
3,2020,3.3,3.3,3.7,4
4,2025,5.5,6,5.3,5.5
1,2010,5.0,5.1,4.9,5.0
2,2011,5.1,5.0,5.2,4.8
3,2012,5.0,4.9,5.1,4.9
4,2013,4.8,4.7,4.9,5.0
5,2014,5.0,5.0,4.8,5.1
1,2011,4.5,4.7,5.1,4.8
2,2016,3.9,4.0,3.8,3.7
3,2021,4.1,4.3,4.2,4.5
4,2026,5.2,5.1,5.3,5.0
1,2012,4.9,5.0,4.7,4.6
2,2017,3.8,3.6,3.9,3.5
3,2022,4.4,4.5,4.3,4.2
4,2027,5.0,5.2,5.1,5.4
5,2015,4.7,4.9,4.8,5.0
1,2013,4.6,4.8,5.0,4.9
1,2011,4.5,4.7,5.1,4.8
2,2016,3.9,4.0,3.8,3.7
3,2021,4.1,4.3,4.2,4.5
4,2026,5.2,5.1,5.3,5.0
1,2012,4.9,5.0,4.7,4.6
2,2017,3.8,3.6,3.9,3.5
3,2022,4.4,4.5,4.3,4.2
4,2027,5.0,5.2,5.1,5.4
5,2015,4.7,4.9,4.8,5.0
1,2013,4.6,4.8,5.0,4.9
2,2014,4.0,4.1,4.3,4.2
3,2018,3.7,3.9,4.0,3.8
4,2019,5.1,5.3,5.2,5.1
5,2020,4.8,4.6,4.7,4.5
1,2023,4.9,5.0,4.8,4.7
2,2024,3.9,3.8,3.7,3.6
3,2025,4.5,4.6,4.4,4.3
4,2028,5.3,5.4,5.2,5.1
5,2029,4.6,4.7,4.9,4.8
1,2030,4.7,4.8,4.6,4.5
2,2031,3.8,3.9,4.0,3.7
3,2032,4.3,4.4,4.5,4.2
4,2033,5.2,5.1,5.0,5.3
5,2034,4.9,4.7,4.8,4.6
1,2035,4.5,4.6,4.7,4.8
2,2036,3.7,3.8,3.9,3.6
3,2037,4.2,4.3,4.1,4.0
4,2038,5.1,5.0,5.2,5.3
5,2039,4.8,4.9,4.7,4.6
1,2040,4.6,4.7,4.5,4.4
2,2041,3.9,4.0,3.8,3.7
3,2042,4.4,4.5,4.3,4.2
4,2043,5.0,5.1,5.2,5.3
5,2044,4.7,4.8,4.9,4.6
1,2045,4.8,4.9,4.7,4.6
2,2046,3.8,3.9,3.7,3.6
3,2047,4.3,4.4,4.2,4.1
4,2048,5.2,5.3,5.1,5.0
5,2049,4.9,4.8,4.7,4.6
1,2050,4.5,4.6,4.7,4.8
2,2051,3.9,4.0,3.8,3.7
3,2052,4.2,4.3,4.1,4.0
4,2053,5.1,5.0,5.2,5.3
5,2054,4.7,4.8,4.9,4.6
1,2011,4.5,4.7,5.1,4.8
2,2016,3.9,4.0,3.8,3.7
3,2021,4.1,4.3,4.2,4.5
4,2026,5.2,5.1,5.3,5.0
1,2012,4.9,5.0,4.7,4.6
2,2017,3.8,3.6,3.9,3.5
3,2022,4.4,4.5,4.3,4.2
4,2027,5.0,5.2,5.1,5.4
5,2015,4.7,4.9,4.8,5.0
1,2013,4.6,4.8,5.0,4.9
2,2014,4.0,4.1,4.3,4.2
3,2018,3.7,3.9,4.0,3.8
4,2019,5.1,5.3,5.2,5.1
5,2020,4.8,4.6,4.7,4.5
1,2023,4.9,5.0,4.8,4.7
2,2024,3.9,3.8,3.7,3.6
3,2025,4.5,4.6,4.4,4.3
4,2028,5.3,5.4,5.2,5.1
5,2029,4.6,4.7,4.9,4.8
1,2030,4.7,4.8,4.6,4.5
2,2031,3.8,3.9,4.0,3.7
3,2032,4.3,4.4,4.5,4.2
4,2033,5.2,5.1,5.0,5.3
5,2034,4.9,4.7,4.8,4.6
1,2035,4.5,4.6,4.7,4.8
2,2036,3.7,3.8,3.9,3.6
3,2037,4.2,4.3,4.1,4.0
4,2038,5.1,5.0,5.2,5.3
5,2039,4.8,4.9,4.7,4.6
1,2040,4.6,4.7,4.5,4.4
2,2041,3.9,4.0,3.8,3.7
3,2042,4.4,4.5,4.3,4.2
4,2043,5.0,5.1,5.2,5.3
5,2044,4.7,4.8,4.9,4.6
1,2045,4.8,4.9,4.7,4.6
2,2046,3.8,3.9,3.7,3.6
3,2047,4.3,4.4,4.2,4.1
4,2048,5.2,5.3,5.1,5.0
5,2049,4.9,4.8,4.7,4.6
1,2050,4.5,4.6,4.7,4.8
2,2051,3.9,4.0,3.8,3.7
3,2052,4.2,4.3,4.1,4.0
4,2053,5.1,5.0,5.2,5.3
5,2054,4.7,4.8,4.9,4.6
1,2010,6.1,5.9,6.2,6.0
2,2015,4.2,4.4,4.3,4.1
3,2020,5.0,5.1,5.2,5.3
4,2025,6.5,6.3,6.4,6.2
1,2011,5.8,6.0,5.7,5.9
2,2016,4.0,4.2,4.1,4.0
3,2021,5.3,5.4,5.5,5.2
4,2026,6.1,6.2,6.0,6.3
5,2017,4.8,5.0,4.9,5.1
1,2012,6.0,6.2,6.1,6.3
2,2018,4.3,4.5,4.4,4.6
3,2023,5.5,5.6,5.7,5.8
4,2028,6.7,6.8,6.5,6.6
5,2029,5.1,5.2,5.3,5.4
1,2013,6.4,6.3,6.5,6.2
2,2019,4.6,4.7,4.5,4.8
3,2024,5.8,5.9,6.0,5.7
4,2029,6.9,7.0,6.8,6.7
5,2030,5.5,5.6,5.7,5.4
1,2014,6.3,6.1,6.4,6.2
2,2020,4.8,4.9,4.7,5.0
3,2025,6.1,6.3,6.2,6.4
4,2030,7.1,7.2,7.0,7.3
5,2031,5.7,5.8,5.9,5.6
